group	video	score	level	edgeQuality	edgeLabel	avgSideslip	carvingConfidence	boardConfidence	boardFrames	boardSource	flowMotionCoherence	flowDirectionalStability	flowVelocitySmoothness
bad	video/bad/v2800fgi0000d4v24r7og65oi0fmka5g.MP4	75.2	高级	68.1	刻滑雏形	16.1	64.2	0.14	32	ankleProxy	31.6	100	0
good	video/good/0946ed384e732c357a3d55fac77426c0.MP4	72.7	中级	60.5	刻滑雏形	17	62.2	0.45	105	ankleProxy	21.8	100	0
good	video/good/3134552bed78447b9f7ba8e2003ce678.MP4	72.2	中级	68.5	刻滑雏形	30.6	54.6	0.14	220	ankleProxy	29.6	100	0
good	video/good/3e6f37fe76521781506c19c02c1b97ed.MP4	83.2	高级	68.5	刻滑雏形	17.5	73	0.13	51	ankleProxy	49.5	99.2	0
good	video/good/5382da0c825e30518ab376505cbcfaf2.MOV	72.1	中级	61.4	刻滑雏形	39.7	25.7	0.27	217	ankleProxy	5.1	73.8	0
good	video/good/641efed02be271b6d9f014c97d1f8ae0.MOV	77	高级	79.3	走刃较稳定	28.9	48.1	0.1	408	ankleProxy	51.3	11.5	0
good	video/good/86ae42724c8349913703af0f4140f6d2.MP4	67.3	中级	56.3	刻滑雏形	13.8	75.9	0.12	116	ankleProxy	49.2	35	0
good	video/good/9ed0bb6c707fc47fce153cee3dcd365e.MP4	75.1	高级	46.8	有立刃尝试	54.6	13.9	0.31	156	ankleProxy	34.3	97.1	0
good	video/good/d63bfbf8978cf8a962f613a489a14420.MP4	66.5	中级	61.1	刻滑雏形	31.3	45.6	0.3	220	ankleProxy	64.4	61.1	0
good	video/good/v0200fg10000d6mln8vog65kajcq52dg.MP4	74	中级	60.6	刻滑雏形	32.1	43	0.15	278	ankleProxy	39.9	38.5	0
good	video/good/v0200fg10000d7r0017og65qoh1vgeg0.MP4	89.3	专业	70.3	走刃较稳定	30.5	32.3	0.13	25	ankleProxy	67.2	95.1	0
good	video/good/v0300fg10000d7h0ckfog65nmsn20jqg.MP4	66.5	中级	63.1	刻滑雏形	31.6	33.1	0.21	81	ankleProxy	51.9	52.6	0
good	video/good/v1e00fgi0000d2bufenog65temc6sh70.MP4	72.1	中级	58.1	刻滑雏形	36.8	30.2	0.42	47	ankleProxy	48.4	80.2	0
good	video/good/v1e00fgi0000d5utfk7og65q1chsrq8g.MP4	79	高级	61.5	刻滑雏形	8.5	81.2	0.23	120	ankleProxy	28.9	79.8	0
good	video/good/v2800fgi0000d6m0mk7og65qamcvgf80.MP4	78.4	高级	75.3	走刃较稳定	30.3	33.3	0.21	83	ankleProxy	93.6	100	0
good	video/good/v2800fgi0000d7o00ufog65t0ran4h1g.MP4	75	中级	71.9	走刃较稳定	37.4	21.1	0.11	47	ankleProxy	56.5	100	0
middle	video/middle/1c5771fc7dd1ea546eb5bc3e4e01bc48.MP4	66.9	中级	47.4	有立刃尝试						25.5	100	0
middle	video/middle/4a7dfe960f07ac14b06bbd8de3d38aa4.MP4	73.1	中级	73.5	走刃较稳定	31.9	31.8	0.13	164	ankleProxy	53.8	100	0
middle	video/middle/4f9ec73b994b63b0775ccfb7a8ef7e6f.MP4	72.1	中级	53.3	有立刃尝试	55.7	4.5	0.32	69	ankleProxy	54.4	100	0
middle	video/middle/96001e37e76be9ef6cf7a65e73efcac4.MP4	85.3	专业	75.4	走刃较稳定	9.8	78.2	0.22	123	ankleProxy	71.7	100	0
middle	video/middle/9714be3aba73f5f94130750c2a15d381.MP4	75.3	高级	61.6	刻滑雏形	27.9	55.2	0.18	199	ankleProxy	45.9	92.9	0
middle	video/middle/992f063b79d27b96b471e44a48d8465e.MP4	55.1	初级	41.5	有立刃尝试	60.8	3.3	0.3	143	ankleProxy	48.7	69.4	0
middle	video/middle/a7791a475a244c938dd0815e89b1dec5.MP4	74.1	中级	59	刻滑雏形	17.2	61.8	0.19	158	ankleProxy	54	82.4	0
middle	video/middle/b343b317a6689df373085ec85e042480.MP4	72.1	中级	71.5	走刃较稳定	41.9	23.5	0.17	229	ankleProxy	36.4	98	0
middle	video/middle/ccfd9967aa6d3ab5abd04fb8991872c7.MOV	68.4	中级	65.7	刻滑雏形	6.4	85.7	0.25	52	ankleProxy	36.1	45.4	0
middle	video/middle/v0200fg10000coc7bcrc77u875h9q7sg.MP4	55.1	初级	50.8	有立刃尝试	45.8	26.9	0.2	470	ankleProxy	65.5	30.9	0
middle	video/middle/v0200fg10000d2tcts7og65t6h63ua2g.MP4	58	初级	38.7	搓雪为主	35.9	31	0.21	75	ankleProxy	70.8	46	0
middle	video/middle/v0200fg10000d318sovog65g16lolm8g.MP4	55.1	初级	45.5	有立刃尝试	72.9	0	0.43	32	ankleProxy	49.3	41.8	0
middle	video/middle/v0200fg10000d6a4i57og65mkjkcdpu0.MP4	76.2	高级	59.6	刻滑雏形	13.4	73.5	0.16	54	ankleProxy	55.6	100	0
middle	video/middle/v0300fg10000d4oq6avog65ihr8qf550.MP4	59.7	初级	38.1	搓雪为主	43.5	28.8	0.08	461	ankleProxy	58.2	72.8	0
middle	video/middle/v0300fg10000d5h313fog65nermuqklg.MP4	62.6	中级	47.3	有立刃尝试			0.73	26	ankleProxy	21.3	100	100
middle	video/middle/v0300fg10000d6fe0nnog65jmdun29vg.MP4	69	中级	37.4	搓雪为主						100	100	100
middle	video/middle/v0d00fg10000cu3omkvog65r22seg0t0.MP4	71.4	中级	55.7	刻滑雏形	16.3	63.9	0.15	61	ankleProxy	63.4	100	0
middle	video/middle/v1e00fgi0000d5bksdfog65irrhr4bog.MP4	59.7	初级	44.5	有立刃尝试			0.03	42	ankleProxy	43.7	100	0
middle	video/middle/v2800fgi0000d54jhefog65lbfdhma2g.MP4	61.8	中级	53.7	有立刃尝试	54.4	33.4	0.14	71	ankleProxy	24.5	6	0
middle	video/middle/v2800fgi0000d5ehg1vog65tinkepgl0.MP4	76.9	高级	60.4	刻滑雏形	28	46.5	0.25	267	ankleProxy	57.3	100	0
