alias	fi	t	cdx	cdy	mag	regOK	frameW	frameH	boxW	boxH	mean
BND2_LB	156	31.398	-0.00000	0.00000	0.00000	1	270	480	0.152	0.229	0.573
BND2_LB	157	31.598	-0.00000	0.00208	0.00208	1	270	480	0.126	0.223	0.573
BND2_LB	158	31.798	-0.44815	0.00625	0.44819	0	270	480	0.159	0.221	0.569
BND2_LB	159	31.998	-0.38148	0.00208	0.38149	0	270	480	0.126	0.208	0.600
BND2_LB	160	32.198	-0.03333	0.00208	0.03340	1	270	480	0.096	0.206	0.655
BND2_LB	161	32.398	-0.36667	0.01042	0.36681	0	270	480	0.030	0.190	0.624
BND2_LB	162	32.598	0.67778	0.10833	0.68638	0	270	480	0.044	0.183	0.490
BND2_L6	0	0.200	-0.00000	0.00000	0.00000	1	270	480	0.152	0.173	0.565
BND2_L6	1	0.400	-0.00000	0.00000	0.00000	1	270	480	0.148	0.167	0.569
BND2_L6	2	0.600	-0.00000	0.00000	0.00000	1	270	480	0.144	0.173	0.576
BND2_L6	3	0.800	-0.00000	0.00000	0.00000	1	270	480	0.163	0.167	0.580
BND2_L6	4	1.000	-0.00000	0.00000	0.00000	1	270	480	0.137	0.165	0.584
BND2_L6	5	1.200	-0.00000	0.00000	0.00000	1	270	480	0.130	0.173	0.588
BND2_L6	6	1.400	-0.00000	0.00000	0.00000	1	270	480	0.137	0.175	0.588
BND2_L6	7	1.598	-0.00000	0.00000	0.00000	1	270	480	0.144	0.167	0.588
BND2_L6	8	1.800	-0.00000	0.00000	0.00000	1	270	480	0.148	0.158	0.588
BND2_L6	9	1.998	-0.00000	0.00000	0.00000	1	270	480	0.152	0.163	0.584
BND2_L6	10	2.198	-0.00000	0.00000	0.00000	1	270	480	0.144	0.158	0.580
BND2_L6	11	2.400	-0.00000	0.00000	0.00000	1	270	480	0.148	0.163	0.576
BND2_L6	12	2.600	-0.00000	0.00000	0.00000	1	270	480	0.126	0.167	0.573
BND2_L6	13	2.800	-0.02593	0.00000	0.02593	1	270	480	0.115	0.177	0.573
BND2_L6	14	3.000	-0.00000	0.00000	0.00000	1	270	480	0.130	0.177	0.576
BND2_L6	15	3.200	-0.00000	0.00000	0.00000	1	270	480	0.141	0.185	0.580
BND2_L6	16	3.400	-0.00000	0.00000	0.00000	1	270	480	0.152	0.190	0.588
BND2_L6	17	3.600	-0.00000	0.00000	0.00000	1	270	480	0.156	0.196	0.588
BND2_L6	18	3.800	-0.00000	0.00000	0.00000	1	270	480	0.156	0.198	0.592
BND2_L6	19	4.000	-0.00000	0.00000	0.00000	1	270	480	0.185	0.196	0.592
BND2_L6	20	4.200	-0.00000	0.00000	0.00000	1	270	480	0.170	0.188	0.592
BND2_L6	21	4.400	-0.00000	0.00000	0.00000	1	270	480	0.174	0.171	0.584
BND2_L6	22	4.600	-0.00000	0.00000	0.00000	1	270	480	0.207	0.129	0.584
BND2_L6	23	5.000	-0.08519	-0.00208	0.08521	1	270	480	0.193	0.104	0.584
BND2_L6	25	5.200	-0.63333	0.59375	0.86813	0	270	480	0.263	0.160	0.569
BND2_L6	26	5.400	-0.00000	0.00000	0.00000	1	270	480	0.322	0.200	0.565
BND2_L6	27	5.600	-0.01481	0.00000	0.01481	1	270	480	0.333	0.212	0.565
BND2_L6	28	5.800	-0.01481	0.00000	0.01481	1	270	480	0.337	0.215	0.565
BND2_L6	29	6.000	-0.02222	0.00000	0.02222	1	270	480	0.333	0.219	0.565
